Id,Expected
1,0.99
2,0.99
3,0.99
4,0.99
5,0.99
6,0.99
7,0.99
8,0.99
9,0.99
10,0.99
11,0.99
12,0.99
13,0.99
14,0.99
15,0.99
16,0.99
17,0.99
18,0.01
19,0.99
20,0.99
21,0.99
22,0.99
23,0.99
24,0.99
25,0.99
26,0.01
27,0.99
28,0.99
29,0.99
30,0.99
31,0.99
32,0.99
33,0.99
34,0.99
35,0.99
36,0.99
37,0.99
38,0.99
39,0.99
40,0.99
41,0.99
42,0.99
43,0.99
44,0.99
45,0.99
46,0.99
47,0.99
48,0.99
49,0.99
50,0.99
51,0.99
52,0.99
53,0.99
54,0.99
55,0.99
56,0.99
57,0.99
58,0.99
59,0.99
60,0.99
61,0.99
62,0.99
63,0.99
64,0.99
65,0.01
66,0.99
67,0.99
68,0.99
69,0.99
70,0.99
71,0.99
72,0.99
73,0.99
74,0.99
75,0.99
76,0.99
77,0.99
78,0.99
79,0.99
80,0.99
81,0.99
82,0.99
83,0.99
84,0.99
85,0.99
86,0.99
87,0.99
88,0.99
89,0.99
90,0.99
91,0.99
92,0.99
93,0.99
94,0.99
95,0.99
96,0.99
97,0.99
98,0.99
99,0.99
100,0.99
101,0.99
102,0.99
103,0.99
104,0.99
105,0.99
106,0.99
107,0.99
108,0.99
109,0.99
110,0.99
111,0.99
112,0.99
113,0.99
114,0.99
115,0.99
116,0.99
117,0.99
118,0.99
119,0.99
120,0.99
121,0.99
122,0.99
123,0.99
124,0.99
125,0.99
126,0.99
127,0.99
128,0.99
129,0.99
130,0.99
131,0.99
132,0.01
133,0.99
134,0.99
135,0.99
136,0.99
137,0.99
138,0.99
139,0.99
140,0.99
141,0.99
142,0.99
143,0.99
144,0.99
145,0.99
146,0.99
147,0.99
148,0.99
149,0.99
150,0.99
151,0.99
152,0.99
153,0.99
154,0.99
155,0.99
156,0.99
157,0.99
158,0.99
159,0.99
160,0.99
161,0.99
162,0.99
163,0.99
164,0.99
165,0.99
166,0.99
167,0.99
168,0.99
169,0.99
170,0.99
171,0.99
172,0.99
173,0.99
174,0.99
175,0.99
176,0.99
177,0.99
178,0.99
179,0.99
180,0.99
181,0.99
182,0.99
183,0.99
184,0.99
185,0.99
186,0.99
187,0.99
188,0.99
189,0.99
190,0.99
191,0.99
192,0.99
193,0.99
194,0.99
195,0.99
196,0.99
197,0.99
198,0.99
199,0.99
200,0.99
201,0.99
202,0.99
203,0.99
204,0.99
205,0.99
206,0.99
207,0.99
208,0.99
209,0.99
210,0.99
211,0.99
212,0.99
213,0.99
214,0.99
215,0.99
216,0.99
217,0.99
218,0.99
219,0.99
220,0.99
221,0.99
222,0.99
223,0.99
224,0.99
225,0.99
226,0.99
227,0.99
228,0.99
229,0.99
230,0.99
231,0.99
232,0.99
233,0.99
234,0.99
235,0.99
236,0.99
237,0.99
238,0.99
239,0.99
240,0.99
241,0.99
242,0.99
243,0.99
244,0.99
245,0.99
246,0.99
247,0.99
248,0.99
249,0.99
250,0.99
251,0.99
252,0.99
253,0.99
254,0.99
255,0.99
256,0.99
257,0.99
258,0.99
259,0.99
